Episode: 99 || Reward: 140.19 || Actor Loss: -39.3 || Critic Loss: 0.46 || Log Prob: -31.33 || Alpha: 0.09 || Time/Update: 6.1ms || Total Steps: 15345 || Song: twinkle_twinkle_little_star
Episode: 100 || Reward: 154.57 || Actor Loss: -38.25 || Critic Loss: 0.44 || Log Prob: -31.24 || Alpha: 0.09 || Time/Update: 6.13ms || Total Steps: 15500 || Song: twinkle_twinkle_little_star
Episode: 101 || Reward: 163.81 || Actor Loss: -37.24 || Critic Loss: 0.43 || Log Prob: -31.12 || Alpha: 0.08 || Time/Update: 6.22ms || Total Steps: 15655 || Song: twinkle_twinkle_little_star
Episode: 102 || Reward: 154.51 || Actor Loss: -36.24 || Critic Loss: 0.4 || Log Prob: -31.06 || Alpha: 0.08 || Time/Update: 5.48ms || Total Steps: 15810 || Song: twinkle_twinkle_little_star
Episode: 103 || Reward: 144.61 || Actor Loss: -35.29 || Critic Loss: 0.38 || Log Prob: -30.9 || Alpha: 0.08 || Time/Update: 5.7ms || Total Steps: 15965 || Song: twinkle_twinkle_little_star
Episode: 104 || Reward: 145.77 || Actor Loss: -34.38 || Critic Loss: 0.37 || Log Prob: -30.8 || Alpha: 0.08 || Time/Update: 7.35ms || Total Steps: 16120 || Song: twinkle_twinkle_little_star
Episode: 105 || Reward: 151.83 || Actor Loss: -33.49 || Critic Loss: 0.36 || Log Prob: -30.67 || Alpha: 0.07 || Time/Update: 6.79ms || Total Steps: 16275 || Song: twinkle_twinkle_little_star
Episode: 106 || Reward: 154.97 || Actor Loss: -32.64 || Critic Loss: 0.34 || Log Prob: -30.55 || Alpha: 0.07 || Time/Update: 6.65ms || Total Steps: 16430 || Song: twinkle_twinkle_little_star
Episode: 107 || Reward: 156.34 || Actor Loss: -31.8 || Critic Loss: 0.32 || Log Prob: -30.41 || Alpha: 0.07 || Time/Update: 6.61ms || Total Steps: 16585 || Song: twinkle_twinkle_little_star
Episode: 108 || Reward: 156.92 || Actor Loss: -31.01 || Critic Loss: 0.31 || Log Prob: -30.32 || Alpha: 0.07 || Time/Update: 6.39ms || Total Steps: 16740 || Song: twinkle_twinkle_little_star
Episode: 109 || Reward: 156.61 || Actor Loss: -30.25 || Critic Loss: 0.29 || Log Prob: -30.15 || Alpha: 0.06 || Time/Update: 6.4ms || Total Steps: 16895 || Song: twinkle_twinkle_little_star
Episode: 110 || Reward: 160.1 || Actor Loss: -29.5 || Critic Loss: 0.28 || Log Prob: -29.99 || Alpha: 0.06 || Time/Update: 6.41ms || Total Steps: 17050 || Song: twinkle_twinkle_little_star
Episode: 111 || Reward: 162.79 || Actor Loss: -28.79 || Critic Loss: 0.27 || Log Prob: -29.77 || Alpha: 0.06 || Time/Update: 6.41ms || Total Steps: 17205 || Song: twinkle_twinkle_little_star
Episode: 112 || Reward: 156.05 || Actor Loss: -28.1 || Critic Loss: 0.26 || Log Prob: -29.63 || Alpha: 0.06 || Time/Update: 8.91ms || Total Steps: 17360 || Song: twinkle_twinkle_little_star
Episode: 113 || Reward: 169.2 || Actor Loss: -27.45 || Critic Loss: 0.25 || Log Prob: -29.44 || Alpha: 0.06 || Time/Update: 9.38ms || Total Steps: 17515 || Song: twinkle_twinkle_little_star
Episode: 114 || Reward: 172.37 || Actor Loss: -26.8 || Critic Loss: 0.23 || Log Prob: -29.36 || Alpha: 0.05 || Time/Update: 9.77ms || Total Steps: 17670 || Song: twinkle_twinkle_little_star
Episode: 115 || Reward: 172.02 || Actor Loss: -26.19 || Critic Loss: 0.23 || Log Prob: -29.16 || Alpha: 0.05 || Time/Update: 6.41ms || Total Steps: 17825 || Song: twinkle_twinkle_little_star
Episode: 116 || Reward: 167.22 || Actor Loss: -25.59 || Critic Loss: 0.22 || Log Prob: -28.94 || Alpha: 0.05 || Time/Update: 7.33ms || Total Steps: 17980 || Song: twinkle_twinkle_little_star
Episode: 117 || Reward: 170.97 || Actor Loss: -25.02 || Critic Loss: 0.22 || Log Prob: -28.81 || Alpha: 0.05 || Time/Update: 7.48ms || Total Steps: 18135 || Song: twinkle_twinkle_little_star
