Episode: 74 || Reward: 94.64 || Actor Loss: -66.58 || Critic Loss: 1.1 || Log Prob: -32.5 || Alpha: 0.18 || Time/Update: 6.93ms || Total Steps: 12284 || Song: twinkle_twinkle_little_star
Episode: 75 || Reward: 93.86 || Actor Loss: -64.51 || Critic Loss: 1.05 || Log Prob: -32.45 || Alpha: 0.17 || Time/Update: 6.82ms || Total Steps: 12450 || Song: twinkle_twinkle_little_star
Episode: 76 || Reward: 94.76 || Actor Loss: -62.48 || Critic Loss: 1.0 || Log Prob: -32.39 || Alpha: 0.16 || Time/Update: 6.87ms || Total Steps: 12616 || Song: twinkle_twinkle_little_star
Episode: 77 || Reward: 94.23 || Actor Loss: -60.52 || Critic Loss: 0.93 || Log Prob: -32.37 || Alpha: 0.16 || Time/Update: 6.83ms || Total Steps: 12782 || Song: twinkle_twinkle_little_star
Episode: 78 || Reward: 86.33 || Actor Loss: -58.59 || Critic Loss: 0.89 || Log Prob: -32.31 || Alpha: 0.15 || Time/Update: 7.13ms || Total Steps: 12948 || Song: twinkle_twinkle_little_star
Episode: 79 || Reward: 98.72 || Actor Loss: -56.74 || Critic Loss: 0.85 || Log Prob: -32.25 || Alpha: 0.15 || Time/Update: 8.12ms || Total Steps: 13114 || Song: twinkle_twinkle_little_star
Episode: 80 || Reward: 97.96 || Actor Loss: -54.95 || Critic Loss: 0.79 || Log Prob: -32.2 || Alpha: 0.14 || Time/Update: 7.49ms || Total Steps: 13280 || Song: twinkle_twinkle_little_star
Episode: 81 || Reward: 111.01 || Actor Loss: -53.21 || Critic Loss: 0.76 || Log Prob: -32.12 || Alpha: 0.14 || Time/Update: 8.07ms || Total Steps: 13446 || Song: twinkle_twinkle_little_star
Episode: 82 || Reward: 101.13 || Actor Loss: -51.53 || Critic Loss: 0.72 || Log Prob: -32.06 || Alpha: 0.13 || Time/Update: 8.24ms || Total Steps: 13612 || Song: twinkle_twinkle_little_star
Episode: 83 || Reward: 98.78 || Actor Loss: -49.9 || Critic Loss: 0.69 || Log Prob: -32.03 || Alpha: 0.13 || Time/Update: 8.28ms || Total Steps: 13778 || Song: twinkle_twinkle_little_star
Episode: 84 || Reward: 98.64 || Actor Loss: -48.32 || Critic Loss: 0.65 || Log Prob: -31.94 || Alpha: 0.12 || Time/Update: 5.86ms || Total Steps: 13944 || Song: twinkle_twinkle_little_star
Episode: 85 || Reward: 104.06 || Actor Loss: -46.81 || Critic Loss: 0.62 || Log Prob: -31.84 || Alpha: 0.12 || Time/Update: 6.53ms || Total Steps: 14110 || Song: twinkle_twinkle_little_star
Episode: 86 || Reward: 99.71 || Actor Loss: -45.34 || Critic Loss: 0.59 || Log Prob: -31.81 || Alpha: 0.11 || Time/Update: 6.77ms || Total Steps: 14276 || Song: twinkle_twinkle_little_star
Episode: 87 || Reward: 108.44 || Actor Loss: -43.92 || Critic Loss: 0.56 || Log Prob: -31.74 || Alpha: 0.11 || Time/Update: 6.86ms || Total Steps: 14442 || Song: twinkle_twinkle_little_star
Episode: 88 || Reward: 119.76 || Actor Loss: -42.53 || Critic Loss: 0.52 || Log Prob: -31.66 || Alpha: 0.11 || Time/Update: 6.83ms || Total Steps: 14608 || Song: twinkle_twinkle_little_star
Episode: 89 || Reward: 120.3 || Actor Loss: -41.22 || Critic Loss: 0.49 || Log Prob: -31.55 || Alpha: 0.1 || Time/Update: 5.69ms || Total Steps: 14774 || Song: twinkle_twinkle_little_star
Episode: 90 || Reward: 105.13 || Actor Loss: -39.92 || Critic Loss: 0.47 || Log Prob: -31.51 || Alpha: 0.1 || Time/Update: 6.45ms || Total Steps: 14940 || Song: twinkle_twinkle_little_star
Episode: 91 || Reward: 105.6 || Actor Loss: -38.7 || Critic Loss: 0.45 || Log Prob: -31.42 || Alpha: 0.09 || Time/Update: 6.65ms || Total Steps: 15106 || Song: twinkle_twinkle_little_star
Episode: 92 || Reward: 107.11 || Actor Loss: -37.51 || Critic Loss: 0.42 || Log Prob: -31.32 || Alpha: 0.09 || Time/Update: 6.61ms || Total Steps: 15272 || Song: twinkle_twinkle_little_star
Episode: 93 || Reward: 106.31 || Actor Loss: -36.37 || Critic Loss: 0.4 || Log Prob: -31.18 || Alpha: 0.09 || Time/Update: 5.83ms || Total Steps: 15438 || Song: twinkle_twinkle_little_star
Episode: 94 || Reward: 124.98 || Actor Loss: -35.26 || Critic Loss: 0.38 || Log Prob: -31.11 || Alpha: 0.08 || Time/Update: 6.12ms || Total Steps: 15604 || Song: twinkle_twinkle_little_star
